2864341	kor	어느날 빠블로는 과테말라의 정글 속에서 길을 잃었다.
8404087	kor	즐기는 건 집에서나 해. 여긴 일하는 곳이라고.
8533870	kor	지금 말고, 아마 나중에.
7289363	kor	나는 네가 프랑스어를 가르쳤는지 몰랐어
8533587	kor	침술이 정말로 효과가 있을까?
6305055	kor	일본과 남한은 이웃 국가다.
3680972	kor	승객들이 버스에서 내리는 걸 봤다.
8396330	kor	톰은 약간 위험해 보여.
4710379	kor	벌써 11시야.
8363387	kor	내가 이겼어!
1533407	kor	그는 존이라는 세례명을 받았다.
8311672	kor	그녀는 그를 비웃었을 뿐만 아니라 그를 미치게 했다
5526754	kor	눈을 다시 감으세요.
6845320	kor	당신이 세계를 여행하는 동안, 항상 잘먹는 것이 가능하지는 않습니다.
4895677	kor	그는 조금 지친 것 같다.
8449926	kor	그건 생각보다 안 어려워.
1015612	kor	나는 매일 2시간 동안 운동을 한다.
3680966	kor	톰은 자신을 통제하지 못 했다.
4948549	kor	버스가 다니나요?
2658177	kor	수면 부족이 점차 건강에 영향을 미친다.
6722342	kor	네가 저리 갔으면 좋겠어.
8533961	kor	아이들이 좋아해.
8543745	kor	이 가게에서는 옷차림을 단정히 해라.
8361972	kor	톰이 미안해 하는 것 같지 않은데.
4717801	kor	Tom은 Mary가 남동생이 있는 줄 몰랐어.
8367064	kor	톰은 싱글 대디야.
8543831	kor	나는 그들을 지켜보았다.
3158451	kor	이 세상의 교육이 실망스러워.
943244	kor	이 자동차는 누구 것이지?
5281676	kor	3 곱하기 4는 12이다.
507558	kor	"허리가 아퍼?" "아니, 별로" "그래, 그게 불행 중 다행이야"
7980213	kor	매일 아침밤, 고양이에게 먹이를 주고 있습니다.
5281719	kor	75 나누기 5는 15이다.
3684930	kor	난 톰한테 그걸 쓰지 말라고 말했다.
4952713	kor	도와줘서 고마워, 톰.
7803497	kor	내 누이는 결혼했어.
5339352	kor	1939년에 제2차 세계 대전이 일어났다.
8533791	kor	선택 사항이 아니야.
5526642	kor	지금 당장 밖으로 나가는 것은 위험하다.
921288	kor	그것은 완전히 터무니없는 짓이다!
8363237	kor	나는 소셜 미디어는 안 써.
8422601	kor	톰은 메리를 2013년에 만났어.
2857520	kor	수염 없는 키스는 소금 없는 국과 같다.
8269786	kor	가장 좋아하는 TV 프로그램은 무엇입니까?
4032574	kor	전등이 꺼졌다.
1587076	kor	이스마엘이라고 부르세요.
2378168	kor	일식집 가자.
8395790	kor	나는 울지 않으려고 했다.
8365081	kor	그 남자애는 어두운 곳을 무서워해.
982063	kor	그의 고뇌에 찬 변명은 거기서 끊어졌다.
8394924	kor	죄송한데, 스프에 머리카락이 들어 있던데요.
8361452	kor	괜찮아. 한 번 해봐.
7805678	kor	우리 몸 속에는 칼륨이 들어 있다.
920830	kor	말로 다 표현할 수가 없습니다.
6304291	kor	여기서는 담배를 피우면 안 됩니다.
