1437667	glg	Quedou atrás porque camiñaba moi devagar.
966254	glg	Xúroche que endexamais o volverei facer.
1446465	glg	É un dereito sagrado.
6207028	glg	Estarías mellor sen min.
5987441	glg	Cometín algúns erros no exame.
1578866	glg	Xa é tarde.
625433	glg	Fixémoslle chorar.
1795934	glg	Que lle aconteceu a Tom?
1449419	glg	Tom non se lembra do meu nome.
1340091	glg	El estase aproximando.
857405	glg	Coido que entendo.
1449296	glg	Que par de babecos!
5405789	glg	Gústame como falas.
1342672	glg	El esperou uns segundos e abriu a porta.
1442700	glg	A felicidade é unha flor delicada.
1427285	glg	Tom axuda a Mary a mover o moble.
1437324	glg	Cheguei tarde por mor do tráfico.
1445712	glg	Ten dúas clases á mañá e unha á tarde.
4760801	glg	Marchade xa, porque así poderedes pillalo.
1726477	glg	Merqueille unha gravata.
1428268	glg	¿Quen lle tirou unha pedra ao meu can?
639196	glg	Ela saíu a un recado.
1227594	glg	O artigo publicouse co gallo do cumio.
1456101	glg	Alice sorriu.
962756	glg	Dick achegouse a ela.
1431098	glg	Todas as maceiras foron pinchadas.
1455900	glg	Miña tía é oleira.
1433224	glg	A súa casa está preto do metro.
1456076	glg	Cala a boca.
1430947	glg	O dito énos moi familiar.
956685	glg	O novo coñece as regras, mais o vello coñece as excepcións.
7098122	glg	Neva.
1426204	glg	A coma de Oxford é estraña, innecesaria, e non pode levarse a outros idiomas distintos do inglés.
1429740	glg	Para seren nenos, téñenche unha malicia que nin o demo.
6620367	glg	Queres que abra a caixa?
1422914	glg	Cando Mary era unha nena, a súa familia era moi pobre.
956108	glg	Non teño razón?
1342578	glg	Non podo aceptar este agasallo.
857410	glg	Xapón intenta facer fronte ao aumento da idade media da súa poboación.
956102	glg	A balsa secou no tempo da calor.
4750306	glg	O título desta novela vén da Biblia.
1424690	glg	Ninguén pode escapar da morte.
1515059	glg	Conduce con xeito.
4748625	glg	Este problema é moi difícil para que poida ser resolto por min.
1449537	glg	Canto custa un quilo de plátanos?
1342548	glg	Síntome mal por ela.
856045	glg	Ela diferénciase dos outros en que ten un obxectivo.
958714	glg	Atópaste mal?
3658110	glg	Tom lanzou una pedra á árbore
960648	glg	Algunhas veces non podo evitar amosa-los meus sentimentos.
1427307	glg	El non é estúpido.
1449545	glg	Teño gana de que chegue a fin de semana.
1578779	glg	¿Sabes a resposta?
962799	glg	Se escoitas que alguén quere mercar unha casa, dimo, por favor.
1515058	glg	As súas bromas facían escarallarnos de risa.
1515225	glg	Estou farto.
1449183	glg	Achegouse e axeonllouse.
957711	glg	Pedín prestado o dicionario do meu amigo.
1437402	glg	Velaquí está o teu libro.
1319698	glg	Daquela ninguén vivía na illa.
3699000	glg	Agora é tardi.
1342746	glg	É hora de ir a casa.
1506361	glg	A papoula é a miña flor preferida.
625452	glg	Gústanme as rosas vermellas.
8903403	glg	Como apago isto?
1318743	glg	Os Estado Unidos convertéronse nunha nación en 1776.
860951	glg	Onde vives?
650887	glg	Este camión vai á praia?
666217	glg	O home é o único animal que pode rir.
855316	glg	Fíxolle a moto varias veces.
1342721	glg	Feliz día da nai!
1449523	glg	Podes adiviñar a súa idade?
1455893	glg	A aguia está a piques de aterrar.
